stop_id,stop_code,stop_name,stop_lat,stop_lon
FTU002,FTU002,FORTUNAGO Costa Cavalieri (Bivio Fortunago),44.91464265,9.19118256
FTU003,FTU003,FORTUNAGO Costa Cavalieri - Della Coste,44.91247703,9.19909352
FTU004,FTU004,FORTUNAGO Dell'Oratorio (Chiesa),44.92094894,9.18386598
FTU005,FTU005,FORTUNAGO S.Eusebio - Colombara,44.90321239,9.15051784
FTU006,FTU006,FORTUNAGO S.Eusebio - Colombara,44.90323681,9.15055424
FTU008,FTU008,FORTUNAGO Costa Cavalieri - Della Coste,44.91233886,9.19910399
FTU009,FTU009,FORTUNAGO Molino Della Signora,44.90607664,9.18452722
FTU013,FTU013,FORTUNAGO Costa Galeazzi - SP203,44.9124441,9.20515664
FTU014,FTU014,FORTUNAGO Costa Galeazzi - SP203,44.91256207,9.20511684
GCA001,GCA001,GROPELLO CAIROLI Della Libertà/Zanotti Meschini,45.17705181,8.99187446
GCA003,GCA003,GROPELLO CAIROLI Della Libertà/Zanotti Meschini,45.17699083,8.99213048
GCA004,GCA004,GROPELLO CAIROLI Marconi/Chiesuolo,45.17921397,8.98426451
GCA005,GCA005,GROPELLO CAIROLI Motti/Bergamo,45.17200066,9.00238231
GCA006,GCA006,GROPELLO CAIROLI S.Spirito - SP596 Dei Cairoli,45.16479085,9.01852006
GCA007,GCA007,GROPELLO CAIROLI Marconi/Chiesuolo,45.17933376,8.98411569
GCA008,GCA008,GROPELLO CAIROLI Motti/Olivelli,45.1720129,9.00240078
GCA009,GCA009,GROPELLO CAIROLI S.Spirito - SP596 Dei Cairoli,45.1648911,9.01861387
GCO002,GCO002,GARLASCO Della Vittoria,45.19691184,8.91769489
GCO003,GCO003,GARLASCO Della Vittoria,45.19672187,8.91796489
GCO004,GCO004,GARLASCO I Maggio/Borgonuovo,45.1944296,8.9247306
GCO005,GCO005,GARLASCO Cavour/S.Zeno,45.19417596,8.92882857
GCO006,GCO006,GARLASCO Bozzole - Ca' Bassa/Baraggia (Santuario),45.21271877,8.93525541
GCO007,GCO007,GARLASCO S.Biagio - Ticino/Borgo Aurelio,45.20812027,8.96162562
GCO008,GCO008,GARLASCO S.Biagio - Ticino/Borgo Aurelio,45.20818628,8.96196022
GCO009,GCO009,GARLASCO Della Bozzola/Zaninetta/Molinai,45.20109231,8.92542526
GCO010,GCO010,GARLASCO Pavia/Pascoli,45.19262896,8.93473684
GCO011,GCO011,GARLASCO S.Biagio - Ticino/Castellani,45.20592988,8.95690998
GCO012,GCO012,GARLASCO S.Biagio - Ticino/Cantone,45.2101211,8.9709314
GCO013,GCO013,GARLASCO S.Biagio - Ticino/Cantone,45.2100794,8.97094408
GCO014,GCO014,GARLASCO Cavour/Oriani,45.19429139,8.92813403
GCO015,GCO015,GARLASCO Pavia/Pascoli,45.19264009,8.9342628
GCO016,GCO016,GARLASCO Bozzole - Ca' Bassa/Baraggia (Santuario),45.2126258,8.93529042
GCO017,GCO017,GARLASCO Della Bozzola/Zaninetta/Molinai,45.20084841,8.92531293
GCO018,GCO018,GARLASCO Della Vittoria (Parcheggio),45.19668486,8.91784811
GCO019,GCO019,GARLASCO S.Biagio - Ticino/Castellani,45.20585045,8.95691873
