fermata;lat;lon
MLZ040;45,49904422;9,422776892
MLZ018;45,5062099;9,428151135
MLZ001;45,5110514;9,431378577
MLZ003;45,50922612;9,432916404
MLZ006;45,50728194;9,431398467
MLZ010;45,50670813;9,431132492
MLZ004;45,50897864;9,42674952
ZBP015;45,40956493;9,439788537
ZBP016;45,40677186;9,446380115
MLZ068;45,497823;9,421435865
VGN027;45,49810229;9,383217431
VGN026;45,49784231;9,383160627
VGN028;45,49519375;9,374597135
VGN025;45,49763156;9,374193733
PVM644;45,34047187;9,188459905
CSN081;45,52050169;9,345756841
PVM642;45,34203421;9,188424562
BRO003;45,06050135;9,255416535
PVM643;45,34197205;9,18851992
PVM645;45,33904779;9,186593972
RZZ675;45,37812562;9,14854203
RZZ676;45,37481381;9,142234999
RZZ677;45,37258043;9,141837448
RZZ678;45,37623023;9,152839002
RZZ679;45,3764437;9,152592481
RZZ680;45,37563296;9,163646397
RZZ681;45,37556537;9,16434085
RZZ682;45,38075382;9,169777705
RZZ683;45,38073897;9,170149386
LCT009;45,35911766;9,229750488
RZZ685;45,39578488;9,150143185
RZZ686;45,39606584;9,150293539
RZZ684;45,39644971;9,148022149
RZZ687;45,39671147;9,14818508
RZZ688;45,38272296;9,158435504
RZZ689;45,38274119;9,15902357
RZZ690;45,37881176;9,178321246
STT601;45,43154594;9,382773509
CRN905;45,48174743;9,034293052
MLN502;45,47984782;9,141456009
GNG016;45,53178415;9,401709249
GNG015;45,53230151;9,400865836
SSG004;45,54636207;9,236921018
SSG010;45,54675232;9,243857034
SSG011;45,54861547;9,24568178
CEM074;45,61684854;9,15230266
CEM075;45,61676974;9,15190051
CEM076;45,61702434;9,145928553
CEM078;45,63055349;9,140033555
CRM144;45,36513252;9,683678559
OZN701;45,40076154;9,910859881
OZN702;45,40092003;9,910894154
CSG008;45,46476537;9,712831389
SDN020;45,42490349;9,25268032
SDN536;45,41209157;9,266055057
CLM012;45,53475144;9,293861712
GSN024;45,6930742;9,221894914
PVM011;45,35635834;9,201601904
CEM010;45,62440239;9,167459315
CEM011;45,62513699;9,152929809
CEM012;45,62492354;9,153146229
CEM013;45,62052831;9,136314956
CEM015;45,62639885;9,137352675
